litmus/VULKAN/HostSync/ascom-before/RR-W.litmus,1
litmus/VULKAN/HostSync/ascom-before/RW-R-a.litmus,1
litmus/VULKAN/HostSync/ascom-before/RW-R-b.litmus,1
litmus/VULKAN/HostSync/ascom-before/RW-R-c.litmus,0
litmus/VULKAN/HostSync/ascom-before/RW-W-a.litmus,1
litmus/VULKAN/HostSync/ascom-before/RW-W-b.litmus,1
litmus/VULKAN/HostSync/ascom-before/RW-W-c.litmus,1
litmus/VULKAN/HostSync/ascom-before/WR-R-a.litmus,1
litmus/VULKAN/HostSync/ascom-before/WR-R-b.litmus,1
litmus/VULKAN/HostSync/ascom-before/WR-R-c.litmus,0
litmus/VULKAN/HostSync/ascom-before/WR-W-a.litmus,1
litmus/VULKAN/HostSync/ascom-before/WR-W-b.litmus,1
litmus/VULKAN/HostSync/ascom-before/WR-W-c.litmus,1
litmus/VULKAN/HostSync/ascom-before/WW-R-a.litmus,1
litmus/VULKAN/HostSync/ascom-before/WW-R-b.litmus,1
litmus/VULKAN/HostSync/ascom-before/WW-R-c.litmus,0
litmus/VULKAN/HostSync/ascom-before/WW-W-a.litmus,1
litmus/VULKAN/HostSync/ascom-before/WW-W-b.litmus,1
litmus/VULKAN/HostSync/ascom-before/WW-W-c.litmus,1
litmus/VULKAN/HostSync/host-twice/x-ssw-via-atom-r-w.litmus,1
litmus/VULKAN/HostSync/host-twice/x-ssw-via-atom-w-wr-r.litmus,0
litmus/VULKAN/HostSync/host-twice/x-ssw-via-atom-w-wr-w.litmus,1
litmus/VULKAN/HostSync/host-twice/x-ssw-via-atom-w-rw-r.litmus,1
litmus/VULKAN/HostSync/host-twice/x-ssw-via-atom-w-rw-w.litmus,1
litmus/VULKAN/HostSync/host-twice/x-ssw-via-atom-r-wr-r.litmus,0
litmus/VULKAN/HostSync/host-twice/x-ssw-via-atom-r-wr-w.litmus,1
litmus/VULKAN/HostSync/host-twice/x-ssw-via-atom-r-rw-r.litmus,0
litmus/VULKAN/HostSync/host-twice/x-ssw-via-atom-r-rw-w.litmus,1
litmus/VULKAN/HostSync/host-twice/x-ssw-via-sc-atom-w-wr-r.litmus,0
litmus/VULKAN/HostSync/host-twice/x-ssw-via-sc-atom-w-wr-w.litmus,1
litmus/VULKAN/HostSync/host-twice/x-ssw-via-sc-atom-w-rw-r.litmus,1
litmus/VULKAN/HostSync/host-twice/x-ssw-via-sc-atom-w-rw-w.litmus,1
litmus/VULKAN/HostSync/host-twice/x-ssw-via-sc-atom-r-wr-r.litmus,0
litmus/VULKAN/HostSync/host-twice/x-ssw-via-sc-atom-r-wr-w.litmus,1
litmus/VULKAN/HostSync/host-twice/x-ssw-via-sc-atom-r-rw-r.litmus,0
litmus/VULKAN/HostSync/host-twice/x-ssw-via-sc-atom-r-rw-w.litmus,1
